Record_time,Epoch,Train_Loss,Val_Loss,LR,Elapsed,ETA
2026-05-26 16:37:13,1,0.2948,0.2324,0.0005,00h 12m 54s,10h 32m 40s
2026-05-26 16:50:46,2,0.2174,0.1908,0.0005,00h 26m 27s,10h 35m 08s
2026-05-26 17:03:50,3,0.1872,0.1681,0.0005,00h 39m 31s,10h 19m 11s
2026-05-26 17:17:16,4,0.1677,0.1608,0.0005,00h 52m 57s,10h 09m 00s
2026-05-26 17:30:37,5,0.1586,0.1511,0.0005,01h 06m 18s,09h 56m 44s
2026-05-26 17:44:01,6,0.1556,0.1477,0.0005,01h 19m 42s,09h 44m 33s
2026-05-26 17:57:14,7,0.1537,0.1479,0.0005,01h 32m 55s,09h 30m 52s
2026-05-26 18:10:32,8,0.1523,0.1457,0.0005,01h 46m 13s,09h 17m 38s
2026-05-26 18:23:41,9,0.1504,0.1454,0.0005,01h 59m 22s,09h 03m 47s
2026-05-26 18:36:46,10,0.1492,0.1509,0.0005,02h 12m 27s,08h 49m 48s
2026-05-26 18:50:04,11,0.1491,0.1465,0.0004,02h 25m 45s,08h 36m 47s
2026-05-26 19:03:09,12,0.1467,0.1457,0.0004,02h 38m 50s,08h 22m 59s
2026-05-26 19:16:15,13,0.1461,0.1428,0.0004,02h 51m 56s,08h 09m 22s
2026-05-26 19:29:39,14,0.1447,0.1417,0.0004,03h 05m 20s,07h 56m 35s
2026-05-26 19:42:46,15,0.1433,0.1434,0.0004,03h 18m 27s,07h 43m 04s
