Record_time        , Epoch, Train_Loss, Val_Loss, LR    , Elapsed    , ETA
2026-05-30 23:24:09,     1,     0.2886,   0.2361, 0.0010, 00h 01m 34s, 01h 32m 29s
2026-05-30 23:25:40,     2,     0.2283,   0.1979, 0.0010, 00h 03m 04s, 01h 29m 22s
2026-05-30 23:27:11,     3,     0.2018,   0.1887, 0.0010, 00h 04m 36s, 01h 27m 26s
2026-05-30 23:28:42,     4,     0.1882,   0.1592, 0.0010, 00h 06m 07s, 01h 25m 38s
2026-05-30 23:30:13,     5,     0.1657,   0.1501, 0.0010, 00h 07m 38s, 01h 24m 06s
2026-05-30 23:31:43,     6,     0.1576,   0.1501, 0.0010, 00h 09m 08s, 01h 22m 18s
2026-05-30 23:33:14,     7,     0.1510,   0.1417, 0.0010, 00h 10m 39s, 01h 20m 41s
2026-05-30 23:34:45,     8,     0.1496,   0.1377, 0.0010, 00h 12m 10s, 01h 19m 08s
2026-05-30 23:36:17,     9,     0.1480,   0.1402, 0.0009, 00h 13m 41s, 01h 17m 36s
2026-05-30 23:37:47,    10,     0.1451,   0.1368, 0.0009, 00h 15m 12s, 01h 16m 02s
2026-05-30 23:39:18,    11,     0.1383,   0.1345, 0.0009, 00h 16m 43s, 01h 14m 29s
2026-05-30 23:40:47,    12,     0.1391,   0.1359, 0.0009, 00h 18m 12s, 01h 12m 51s
2026-05-30 23:42:19,    13,     0.1409,   0.1339, 0.0009, 00h 19m 44s, 01h 11m 21s
2026-05-30 23:43:51,    14,     0.1378,   0.1295, 0.0009, 00h 21m 16s, 01h 09m 53s
2026-05-30 23:45:22,    15,     0.1360,   0.1301, 0.0009, 00h 22m 46s, 01h 08m 20s
2026-05-30 23:46:52,    16,     0.1360,   0.1370, 0.0008, 00h 24m 17s, 01h 06m 47s
2026-05-30 23:48:23,    17,     0.1352,   0.1360, 0.0008, 00h 25m 48s, 01h 05m 16s
2026-05-30 23:49:54,    18,     0.1333,   0.1283, 0.0008, 00h 27m 18s, 01h 03m 44s
2026-05-30 23:51:25,    19,     0.1332,   0.1333, 0.0008, 00h 28m 50s, 01h 02m 14s
2026-05-30 23:52:57,    20,     0.1322,   0.1318, 0.0008, 00h 30m 21s, 01h 00m 43s
2026-05-30 23:54:25,    21,     0.1325,   0.1314, 0.0007, 00h 31m 50s, 00h 59m 08s
2026-05-30 23:55:56,    22,     0.1302,   0.1286, 0.0007, 00h 33m 20s, 00h 57m 36s
